komentar,clean_text,sentiment
"Pengiriman cepat,barang sesuai,kualitas ya ada harga ada kualitas,arumanya gak enak,moga² awet",kirim cepatbarang sesuaikualitas ya ada harga ada kualitasarumanya gak enakmoga awet,positif
"Bentuk dan ukuran: Ukuran pesen Saize 42 tp yg dateng 40, dan bahan juga agak berat bawahnya g mpuk atw lentur.",bentuk dan ukur ukur sen saize tp yang dateng dan bahan juga agak berat bawah g mpuk atw lentur,netral
Sudah di terima kirim cepat produck & kwalitas sesuai harga semoga lem kuat tidak gampang jebol,sudah di terima kirim cepat produck kwalitas sesuai harga moga lem kuat tidak gampang jebol,positif
"Lumayan untuk harga segitu,sedikit sobek tp masih bisa di pakai Bentuk dan ukuran: .ukuran pas Daya tahan pakai: Mudah'' awet,belum di pakai Pengiriman cepat",lumayan untuk harga segitusedikit sobek tp masih bisa di pakai bentuk dan ukur ukur pas daya tahan pakai mudah awetbelum di pakai kirim cepat,positif
"Mendarat aman sesuai pesanan rapi pengiriman cpt brang bgus harga terjangkau kualitas lumayan bgus dn pas di pke,,serta amanah,,.",darat aman sesuai pesan rapi kirim cpt brang bgus harga jangkau kualitas lumayan bgus dn pas di pkeserta amanah,positif
"Lumayan, sesuai harga, ringan sayang talinya sangat kecil",lumayan sesuai harga ringan sayang tali sangat kecil,positif
Bentuk dan ukuran: Pas Aroma: wangi Daya tahan pakai: Semoga tahan laama,bentuk dan ukur pas aroma wangi daya tahan pakai moga tahan laama,netral
"Barangnya bagus, foto sesuai dgn aslinya,, real",barang bagus foto sesuai dgn asli real,positif
pesanan sudah sampai pengiriman sedikit terlambat tapi gpp lah sepatunya sesuai gambar tapi ada dikit benang yang ga rapi di sepatu sebla kiri tapi ggp lumayan baguss maatap,pesan sudah sampai kirim sedikit lambat tapi gpp lah sepatu sesuai gambar tapi ada dikit benang yang tidak rapi di sepatu sebla kiri tapi ggp lumayan baguss maatap,positif
Untuk hrg 65k rumayan tp sayang tdk sesuai gambar untuk tali nya d gambar tali putih yg dtg abu2 meski tdk 100%sama gambar tp rumayan lah hrg segitu..mks toko lain kali yg sesuai ok suxses selalu dah..,untuk hrg k rumayan tp sayang tidak sesuai gambar untuk tali nya d gambar tali putih yang dtg abu meski tidak sama gambar tp rumayan lah hrg segitumks toko lain kali yang sesuai ok suxses selalu dah,netral
Bentuk bagus dan ukuranya pas sekali mudah mudahan daya pakai nya kuat terima kasih,bentuk bagus dan ukuranya pas sekali mudah mudah daya pakai nya kuat terima kasih,positif
"Barang sesuai pesanan, trnyata kekecilan dikit saya pesen ukuran 40.. tau gitu pesen yg ukuran 41.. dengan harga segitu okelah",barang sesuai pesan trnyata kecil dikit saya sen ukur tau gitu sen yang ukur dengan harga segitu oke,positif
"Barang sesuai gambar. & Kualitas Nya baik dengan harga segitu, next order lagi yang warna hitam nya",barang sesuai gambar kualitas nya baik dengan harga segitu next order lagi yang warna hitam nya,positif
"Bagian belakang lem nya ada yg lepas harus di sol/jahit lagi spy lebih kuat, catnya agak kurang rapi, dg harga segitu ya wajarlah.",bagi belakang lem nya ada yang lepas harus di soljahit lagi spy lebih kuat cat agak kurang rapi dg harga segitu ya wajar,positif
"Sangat bagus sesuai pesanan,, semoga awet dan amanah,kurir bagus terpercaya,, makasih buat toko dan kurir dan jug aplikasi ini...",sangat bagus sesuai pesan moga awet dan amanahkurir bagus percaya makasih buat toko dan kurir dan jug aplikasi ini,positif
Barang bagus sesuae yg sayang pesan walau pun agak terlbat sampaixa,barang bagus sesuae yang sayang pesan walau pun agak terlbat sampaixa,positif
"Ma,af baru di ambil paket nya.paket nya sdh smpai",maaf baru di ambil paket nyapaket nya sdh smpai,netral
"bagus, sesuai pesanan.harga juga murah.moga awet & tahan",bagus sesuai pesananharga juga murahmoga awet tahan,positif
Yaa lumayan lah bagus SM di gambar ya namanya jg harga murah,yaa lumayan lah bagus sm di gambar ya nama jg harga murah,positif
Alhamdllah.paket.datang nya cepat.dan sesuai pesanan.barang nya bagus.maksh untuk semua nya sukses sellu.buat kutur dan seler nya.🤲🤲🤲,alhamdllahpaketdatang nya cepatdan sesuai pesananbarang nya bagusmaksh untuk semua nya sukses sellubuat tur dan seler nya,positif
"Bagus,kualitas sesuai hargalah..terima kasih",baguskualitas sesuai hargalahterima kasih,positif
Paket tepat waktu Barang lumayan bagus,paket tepat waktu barang lumayan bagus,positif
"Paket sudah sampai, bahan sesuai sama yg di foto terimakasih kak.",paket sudah sampai bahan sesuai sama yang di foto terimakasih kak,positif
Sepatu ya sangat bagus sya suka sesuai SMA pesanan nya Poko ya mantul,sepatu ya sangat bagus sya suka sesuai sma pesan nya poko ya mantul,positif
"Sepatunya bagus,dapat harga segitu termasuk murah.",sepatu bagusdapat harga segitu masuk murah,positif
Daya tahan pakai: Kuat anti selip Bentuk dan ukuran: Bagus/ pass banget,daya tahan pakai kuat anti selip bentuk dan ukur bagus pass banget,positif
"saya kecewa tidak sesuai yg di gambar,harusnya ada pemberitahuan klo barang tidak ada sebelum dikirim padahal saya co 2 no 42 sama no 39 yg no 42 nya sama kaya di gambar klo yg 39 beda",saya kecewa tidak sesuai yang di gambarharusnya ada pemberitahuan klo barang tidak ada belum kirim padahal saya co no sama no yang no nya sama kaya di gambar klo yang beda,negatif
Bentuk dan ukuran: Sepatu sport ukuran pas 39 Aroma: Biasa Daya tahan pakai: Lumayan buat joging dan mejeng pas buat anak muda dan tua laki cewek cocok tidak mengecewakan dgn harga ekonomis kren,bentuk dan ukur sepatu sport ukur pas aroma biasa daya tahan pakai lumayan buat joging dan mejeng pas buat anak muda dan tua laki cewek cocok tidak kecewa dgn harga ekonomis kren,negatif
Bentuk dan ukuran: pas nyaman dipakai. Daya tahan pakai: semoga awet.,bentuk dan ukur pas nyaman pakai daya tahan pakai moga awet,netral
Wajar sih untuk harga segitu emang gak berharap banyak. Barang lecet dan sol gak rata. Cet nya manual bukan warna asli sol jadi belepotan kemana2 dan warna nya gak rata.,wajar sih untuk harga segitu emang gak harap banyak barang lecet dan sol gak rata cet nya manual bukan warna asli sol jadi belepotan mana dan warna nya gak rata,netral
"Bentuk dan ukuran: Bentuk tidak sesuai yang di iklan waktu order,dan ukurannya kekecilan padahal sudah ambil no paling besar 43",bentuk dan ukur bentuk tidak sesuai yang di iklan waktu orderdan ukur kecil padahal sudah ambil no paling besar,netral
"Maaf terlambat berikan ulasan, karna baru plg dr luar kota. Sepatunya warna cocok sama di iklan, tp sol nya sangat keras, ngk bisa dipakai untuk olah raga..",maaf lambat ikan ulas karna baru plg dr luar kota sepatu warna cocok sama di iklan tp sol nya sangat keras ngk bisa pakai untuk olah raga,netral
"Barang sudah sampai cepat sekali sehari sampai, terimakasih buat kurirnya juga",barang sudah sampai cepat sekali hari sampai terimakasih buat kurir juga,positif
"Bentuk dan ukuran: Pas Aroma: Seperti aroma sepatu baru Daya tahan pakai: Baru mau dicoba, semoga awet",bentuk dan ukur pas aroma seperti aroma sepatu baru daya tahan pakai baru mau coba moga awet,netral
Barang kw jelek kain robek pokoknya jelek parah sepatu kw kemasan g aman jahitan g bener tali s patunya lain pokoknya g rekomend sih beli sepatu disini hancur(jelek) parah barangnya,barang kw jelek kain robek pokok jelek parah sepatu kw kemas g aman jahit g bener tali s patunya lain pokok g rekomend sih beli sepatu sini hancurjelek parah barang,negatif
Alhamdulillah packet saya suda sampai toko ny smbgat amana saya puas sekali sama produk ny trimaran kasi,alhamdulillah packet saya suda sampai toko ny smbgat amana saya puas sekali sama produk ny trimaran kasi,positif
Warna: Sudah cocok sesuai yg di pesanan Bentuk dan ukuran: Kurang lebar jdi kaki susah buat masuk,warna sudah cocok sesuai yang di pesan bentuk dan ukur kurang lebar jdi kaki susah buat masuk,positif
Lumayan sesuai harga dan kurir yang mengantarnya baik dan ramah sukses selalu buat para kurir J&T terimakasih,lumayan sesuai harga dan kurir yang antar baik dan ramah sukses selalu buat para kurir jt terimakasih,positif
"Hargax murah tapi kualitasx gk murahan,bgus bgt..next order lagi,mkasih seller dan abang kurir🙏",hargax murah tapi kualitasx tidak murahanbgus bgtnext order lagimkasih seller dan abang kurir,positif
Bentuk dan ukuran: Bagus,bentuk dan ukur bagus,positif
Paket sudah sampe trimksh bnyk buat toko nya sangat amanah bisa buat Langanan klo toko nya sudah amanah 👍👍👍👍👍,paket sudah sampe trimksh bnyk buat toko nya sangat amanah bisa buat langanan klo toko nya sudah amanah,netral
"dtng barang cepat,kliatan ny bagus tp kwalitas kurang bagus d pake ny kaku",dtng barang cepatkliatan ny bagus tp kwalitas kurang bagus d pake ny kaku,positif
"Alhamdulillah paket dah nyampe,tpi kenapa sepatunya tali nya g ada🥹🥹🙏🙏🙏",alhamdulillah paket dah nyampetpi kenapa sepatu tali nya g ada,netral
Sesuai pas dan nyaman di kaki,sesuai pas dan nyaman di kaki,positif
"Barangnya bagus cuma sangka saya sampingnya itu lembut ternyata keras, tpi bgus juga, syukron barangnya nyampai dgn selamat dan Aman",barang bagus cuma sangka saya samping itu lembut nyata keras tpi bgus juga syukron barang nyampai dgn selamat dan aman,netral
Sepatunya bagus tidak ada cacatnya,sepatu bagus tidak ada cacat,positif
Allham ndulillah barang datang tepat waktu n juga barang bagus sdh 2× ini saya pasan masih nunggu paket datang lagi besok yng ke 3-4 trimakasih tiktok tdk mengecewakan pokoknya jooooos mantep,allham ndulillah barang datang tepat waktu n juga barang bagus sdh ini saya pas masih nunggu paket datang lagi besok yng ke trimakasih tiktok tidak kecewa pokok jooooos mantep,netral
"sepatunya kayak batu, catnya kayak cat tembok🤣",sepatu kayak batu cat kayak cat tembok,netral
Saya pesan ukuran 40 yg dtg ukuran 43,saya pesan ukur yang dtg ukur,netral
Ok pesanan sesuai mantap no tipu-tipu 👍👍👍👍👍,ok pesan sesuai mantap no tiputipu,positif
Barang dah sampai keadaan bungkus dah robek Daya tahan pakai: Baru keadaan lem dah ngelupas produk jelek.,barang dah sampai ada bungkus dah robek daya tahan pakai baru ada lem dah ngelupas produk jelek,negatif
Tapaknya keras bukan karet kurang lentur,tapak keras bukan karet kurang lentur,netral
Barang ny sesuai gambar tapi bahan ny agak keras gitu sesuai lah dengan harga segitu,barang ny sesuai gambar tapi bahan ny agak keras gitu sesuai lah dengan harga segitu,positif
"Bahan tidak bagus Sangat kecewa,tidak sesuai dengan yg di pajang",bahan tidak bagus sangat kecewatidak sesuai dengan yang di pajang,netral
"Paket sudah tiba dengan aman, sesuai dengan pesanan",paket sudah tiba dengan aman sesuai dengan pesan,positif
Ini bukan cuci gudang ini penipuan barang enggak sama dengan di FHOTO dan iklan sepatunya kerak Sekai pakai pasti jebol mana tapak keras,ini bukan cuci gudang ini tipu barang enggak sama dengan di fhoto dan iklan sepatu kerak seka pakai pasti jebol mana tapak keras,netral
"Bagian depan kekecilan, kaki terasa di himpit 😵‍💫 Yg lainnya sesuai harga",bagi depan kecil kaki asa di himpit yang lain sesuai harga,positif
"Barang lmayan sesuai harga cuma agak keras d injaknya, kurir ok",barang lmayan sesuai harga cuma agak keras d injak kurir ok,positif
Ukuran 39 kebesaran Lemnya sudah nglokor Bahan nya sudah ada yg sobek,ukur besar lem sudah nglokor bahan nya sudah ada yang sobek,netral
No ukurannya bukan asli cuma tempelan akhirnya kekecilan kagak muat... Biasanya/ lazimnya klw ukuran yg asli ada di telapak ( bagian bawah nya )🙏 Biasany sepatu sy no 40 pas banget,no ukur bukan asli cuma tempel akhir kecil kagak muat biasa lazim klw ukur yang asli ada di telapak bagi bawah nya biasany sepatu sy no pas banget,netral
Mantap barang sesui pengiriman cpt puas pokoknya,mantap barang sesui kirim cpt puas pokok,positif
barang bagus sesuai ekpetasi..saya puas. cuma ini no 42 kecil.,barang bagus sesuai ekpetasisaya puas cuma ini no kecil,positif
Barang ny sama sperti yg di pesan. Allhamdulilah. Tidak mngecewa kn barang ny,barang ny sama sperti yang di pesan allhamdulilah tidak mngecewa kn barang ny,netral
"Cuman sekali pake aja udh jebol.. Gmn mau awet, dg harha segitu mh lumayan dahh",cuman sekali pake aja udh jebol gmn mau awet dg harha segitu mh lumayan dahh,netral
"Alhamdulillah barang sudah sampai dengan aman dan cepat sesuai deskripsi... Bagus, mantap 👍👍 Terimakasih 🙏",alhamdulillah barang sudah sampai dengan aman dan cepat sesuai deskripsi bagus mantap terimakasih,positif
"Beli sepatu gak ada tali sepatunya,lain kali lebih teliti dan hati hati ,mengecewakan, baru kali ini beli sepatu gak ada tali sepatunya , terus pakainya gimana?????????",beli sepatu gak ada tali sepatunyalain kali lebih teliti dan hati hati kecewa baru kali ini beli sepatu gak ada tali sepatu terus pakai gimana,negatif
"Tdk sesuai harapan, merek berbeda dgn yg di pesan",tidak sesuai harap merek beda dgn yang di pesan,netral
Spatu nya keren.cuman no 42 pas banget.sipp pokoe.blanja d shope👍👍👍,spatu nya kerencuman no pas bangetsipp pokoeblanja d shope,netral
"Alhmdulilah paket sudah sampai Dengan baik barang oke dan bagus, trimkasih seller dan pak kurir",alhmdulilah paket sudah sampai dengan baik barang oke dan bagus trimkasih seller dan pak kurir,positif
"Ini mah udah kaya sepatu mahal aja, pas ukurannya dan pik kaya di photo, untuk kurirnya trima kasih",ini mah udah kaya sepatu mahal aja pas ukur dan pik kaya di photo untuk kurir trima kasih,negatif
Bagus barang sesuai harga sayng gak ada tali sepatunya aja,bagus barang sesuai harga sayng gak ada tali sepatu aja,positif
"Daya tahan pakai: Tidak tahan lama,lem tidak nempel sempurna,bahan alas licin",daya tahan pakai tidak tahan lamalem tidak nempel sempurnabahan alas licin,negatif
Barang sesuai yang di iklan Harga nya ekonomis,barang sesuai yang di iklan harga nya ekonomis,positif
Ok bagus bgt sesuai pesanan pokoknya ok semua,ok bagus banget sesuai pesan pokok ok semua,positif
Bentuk dan ukuran: Barang tidak sesuai dengan di live nya barang seperti barang murah kwalitas tak layak pakai kecewa dan talinya pun tidak sesuai apa yg di katakan tali bisa,bentuk dan ukur barang tidak sesuai dengan di live nya barang seperti barang murah kwalitas tak layak pakai kecewa dan tali pun tidak sesuai apa yang di kata tali bisa,negatif
mantap pesanan sda sampai barang sesuai harga 👍,mantap pesan sda sampai barang sesuai harga,positif
Kalo dilihat elegan tapi lom di coba kekuatanya 👍,kalo lihat elegan tapi lom di coba kekuatanya,positif
Sepatu keren banget ga kaleng² benar bagus banget jadi puas beli barang nya terimakasih tiktok,sepatu keren banget tidak kaleng benar bagus banget jadi puas beli barang nya terimakasih tiktok,positif
"Barang sampai dengan selamat tidak ada hancur,, cuman sedikit kecewa dengan sepatu nya, tidak sesuwai dengan gambar tali d gambar putih d kirim itam, trus gambar contreng NYO hijap yg d kirim itam yg Ijam d Bawak, Hadee nyesal pokok nya beli d toko ini ku kira sesuwai dengan pesanan.",barang sampai dengan selamat tidak ada hancur cuman sedikit kecewa dengan sepatu nya tidak sesuwai dengan gambar tali d gambar putih d kirim itam trus gambar contreng nyo hijap yang d kirim itam yang ijam d bawak hadee nyesal pokok nya beli d toko ini ku kira sesuwai dengan pesan,negatif
Ok trimakasih brg da sampai cepat lo Cucok tuk ganti2 beraktivitas Keren🫰,ok trimakasih barang da sampai cepat lo cucok tuk ganti aktivitas keren,positif
"Sesuai harga, cat nya gak rapih",sesuai harga cat nya gak rapih,positif
Bahan nya jelek parah Daya tahan pakai: Tdk sesuai dgn iklan yg di tampilkan,bahan nya jelek parah daya tahan pakai tidak sesuai dgn iklan yang di tampil,negatif
Kalau gak niat jualan hfn jualan apa mau nipu orang masks beli sepatu gaj ada talinya maksudnya gmn,kalau gak niat jual hfn jual apa mau nipu orang masks beli sepatu gaj ada tali maksud gmn,netral
Kurir sopan ramah.sepatu di cek ternyata cacat. Gimana ini tdk puas dng barang paketannya,kurir sopan ramahsepatu di cek nyata cacat gimana ini tidak puas dng barang paket,positif
Bagus sesuai gambar makasihh 👍🏻 amanah,bagus sesuai gambar makasihh amanah,positif
"Sepatu nya sudah sampai Tapi ga sama dengan yg di gambar nya, tali nya aturan warna putih, yg Dateng warna abu""",sepatu nya sudah sampai tapi tidak sama dengan yang di gambar nya tali nya atur warna putih yang dateng warna abu,netral
"Barang bagus, penjual fast respon",barang bagus jual fast respon,positif
Barang tidak sesuai dg yg di iklankan bawahnya keras sy kecewa,barang tidak sesuai dg yang di iklan bawah keras sy kecewa,negatif
Pengiriman cepet tapi lok ada yg ngirut di sisidepan nih min,kirim cepet tapi lok ada yang ngirut di sisidepan nih min,netral
Barang dah nyampe kemaren cuma baru saya buka tpy kurang puas kirain bawah nya seket ternyata ya lumayan lah dari pada lumanyun,barang dah nyampe kemaren cuma baru saya buka tpy kurang puas kirain bawah nya seket nyata ya lumayan lah dari pada lumanyun,positif
Gag sesuai di gambar Masa pinggir ya pake cet belepotan lgh,gag sesuai di gambar masa pinggir ya pake cet belepotan lgh,positif
"Alhamdulillah... Sepatunya Sudah datang Sangat Sesuai dengan Pesanan, Terima Kasih Reseller Semuga Selalu Amanah... Aamiin KurirNya Juga Sangat Ramah",alhamdulillah sepatu sudah datang sangat sesuai dengan pesan terima kasih reseller semuga selalu amanah aamiin kurir juga sangat ramah,positif
Bentuk dan ukuran: Pas di kaki,bentuk dan ukur pas di kaki,netral
tdk memuaskan sepatu baru kok sudah terbuka lemx sudah robek lagi bagian belakang,tidak muas sepatu baru kok sudah buka lemx sudah robek lagi bagi belakang,netral
"Barang kalau jelek jgn di jual,,bikin kecewa pembeli",barang kalau jelek jgn di jualbikin kecewa beli,negatif
Terimakasih paket sudah dterima.. model bagus.kuwalitas sesuwai harga..,terimakasih paket sudah dterima model baguskuwalitas sesuwai harga,positif
Bentuk dan ukuran: Kecewa Tidak sesuai saya pesan no 39 datang no 42 gimana ini!!!,bentuk dan ukur kecewa tidak sesuai saya pesan no datang no gimana ini,negatif
"Parah, Masa Yang Dateng Paket Sebatunye Bahan Ame Yang Di Iklannye Beda????? Sungguh Mengecewakan 😠😠😠😠😠",parah masa yang dateng paket sebatunye bahan ame yang di iklannye beda sungguh kecewa,negatif
Ngak sesuai pesanan trus gimana ini Jelek kali bro👎👎👎,ngak sesuai pesan trus gimana ini jelek kali bro,netral
"Tidak sesuai gambar , tidak amanah ,, sangat mengecewakan",tidak sesuai gambar tidak amanah sangat kecewa,negatif
Bentuk dan ukuran: Pas sesuai pesanan,bentuk dan ukur pas sesuai pesan,positif
"kirain merk sneker yg dateng,ngga taunya merk Afshifa gimana kak,,katanya real pic",kirain merk sneker yang datengngga tau merk afshifa gimana kakkatanya real pic,netral
Depan nya tidak bagus dan sangat mengecewakan tolong bagaiman ini,depan nya tidak bagus dan sangat kecewa tolong bagaiman ini,netral
"Ok paket sudah sampah dan sesuai dengan apa yang di ingin kan,tapi lem nya GK kuat",ok paket sudah sampah dan sesuai dengan apa yang di ingin kantapi lem nya tidak kuat,positif
Lumayan cmn tpaknya agak keras..,lumayan cmn tpaknya agak keras,netral
Bentuk dan ukuran: Estetik ukuran pas,bentuk dan ukur estetik ukur pas,netral
"Alhamdulillah paketnya SDH sampe, Pesanan sesuai digambar, Mksh bwt tokonya jg Abang kurirnya yg baik👍👍🙏",alhamdulillah paket sdh sampe pesan sesuai gambar mksh bwt toko jg abang kurir yang baik,positif
sungguh kecewa warna kenapa tak sesuai biarpun harga murah,sungguh kecewa warna kenapa tak sesuai biarpun harga murah,positif
Barang udah sampai lumayan bagus sagitu ukuran pas,barang udah sampai lumayan bagus sagitu ukur pas,positif
Sepatu nya gak sesuai yg ku inginkan minta nomor 40 malah d kasih nmr 43 jadi ke gegedean,sepatu nya gak sesuai yang ku ingin minta nomor malah d kasih nmr jadi ke gegedean,positif
Barang tidak sesuai di iklankan...toko ini tidak amanah...parah barang yg saya terima,barang tidak sesuai di iklankantoko ini tidak amanahparah barang yang saya terima,netral
"Alhamdulillah paket udah datang sesuai pesanan,,iya lumayan lah harga segitu mah,,",alhamdulillah paket udah datang sesuai pesananiya lumayan lah harga segitu mah,positif
Barang sesuai pesanan...sukses selalu👍👍,barang sesuai pesanansukses selalu,positif
Tidak sesuai harapan Bahan keras,tidak sesuai harap bahan keras,netral
Untuk harga semurah ini barang nya bagus,untuk harga murah ini barang nya bagus,positif
Boss sepatunya dtg tdk ada tali. Sangat tdk memuaskan..!!,boss sepatu dtg tidak ada tali sangat tidak muas,netral
Alas licin tidak sesuai dengan promosi,alas licin tidak sesuai dengan promosi,netral
Lumayan bagus untuk harga segitu.. Awet brngnya ketimbang uangnya 😁😁😁,lumayan bagus untuk harga segitu awet brngnya ketimbang uang,positif
"Barang bagus, sesuai harga👍",barang bagus sesuai harga,positif
maf KA nomer y sepatu y kegedaan.saya pesan nomer 41 ko Dateng y 43,maf ka nomer y sepatu y kegedaansaya pesan nomer ko dateng y,netral
Keren barangnya sudah sampai semoga awet untuk di pakai sehari-hari,keren barang sudah sampai moga awet untuk di pakai seharihari,netral
"Bentuk dan ukuran: Harga merayakyat . Ukuran pas . desain sesuai, saran untuk perwarna ya jangan sampai kelewat. Biar keliatan profesional. Untuk harga emang gila terbaik anjir . Bahan juga standar dengan harga , terbaik . Saran untuk daya tahan pakai. Saya harap kuat aja lemnya . Soalnya belum ketauan.",bentuk dan ukur harga merayakyat ukur pas desain sesuai saran untuk warna ya jangan sampai lewat biar liat profesional untuk harga emang gila baik anjir bahan juga standar dengan harga baik saran untuk daya tahan pakai saya harap kuat aja lem soal belum tau,positif
Sangat buruk di bagian cat nya,sangat buruk di bagi cat nya,negatif
"Barang.a sesuai foto terima kasih,",baranga sesuai foto terima kasih,positif
Kualitas sesuai harga Aroma: Barang baru Daya tahan pakai: Kayanya awera kalau ga di pakai Bentuk dan ukuran: Uk pas sesuai pesanan,kualitas sesuai harga aroma barang baru daya tahan pakai kaya awera kalau tidak di pakai bentuk dan ukur uk pas sesuai pesan,positif
Intinya sesuai pesanan ukuran pas di 42 gk kecil gk besar bahan lemes gk sakit di pake rasa nyaman oke dah pokonya,inti sesuai pesan ukur pas di tidak kecil tidak besar bahan lemes tidak sakit di pake rasa nyaman oke dah poko,positif
Pesanan sudah kami Terima tapi tidak sesuai pilihan pesan orenn di kirim hijau tidak memuaskan pelanggan,pesan sudah kami terima tapi tidak sesuai pilih pesan orenn di kirim hijau tidak muas langgan,netral
Kecewa dikira bawah nya karet ternyata😌 Pengiriman emang cepet sih,kecewa kira bawah nya karet nyata kirim emang cepet sih,negatif
"Bentuk dan ukuran: Agak sobek dikit ,mohon di cek kembali sebelum pengemasan",bentuk dan ukur agak sobek dikit mohon di cek kembali belum emas,netral
Bentuk dan ukuran: Pas Daya tahan pakai: Tidak dianjurkan dipakai setiap hari,bentuk dan ukur pas daya tahan pakai tidak anjur pakai tiap hari,netral
